x,y
1,15.483570765056164
2,15.308678494144077
3,22.23844269050346
4,29.61514928204013
5,23.829233126383322
6,26.8293152152541
7,38.896064077536955
8,37.837173645764544
9,34.65262807032524
10,42.712800217929825
11,40.68291153593769
12,43.671351232148716
13,50.20981135783017
14,42.43359877671101
15,46.375410837434835
16,55.188562353795135
17,55.93584439832788
18,65.57123666297637
19,62.45987962239394
20,62.93848149332354
21,80.32824384460777
22,74.87111849756732
23,79.33764102343962
24,74.87625906893271
25,82.27808637737408
26,88.55461294854933
27,85.24503211288848
28,95.87849009172837
29,93.99680655040598
30,98.54153125103362
31,99.99146693885301
32,115.26139092254469
33,108.93251387631032
34,106.71144535522049
35,119.11272456051594
36,111.89578175014489
37,122.04431797502377
38,114.20164938060113
39,120.35906975550785
40,130.98430617934562
41,136.69233289997706
42,136.85684140594987
43,138.4217585880588
44,140.49448152205355
45,137.60739004816287
46,144.40077895802645
47,148.69680614520107
48,159.28561113109458
49,158.7180914478423
50,151.18479922318633
51,164.620419846974
52,164.07458859791842
53,165.61538999847022
54,175.05838144420434
55,180.15499761247975
56,182.656400595581
57,176.8039123838868
58,182.4539381207439
59,188.6563171570178
60,194.8777256356118
61,190.60412881077355
62,195.0717051166809
63,193.46832512996986
64,196.01896687959663
65,209.06262911197098
66,214.78120014285412
67,210.63994939209834
68,219.01766448946012
69,218.80818012523818
70,216.7744012269744
71,224.80697802754207
72,233.69018283232984
73,228.82086980445024
74,239.82321827907003
75,221.9012744795513
76,242.10951252187613
77,241.43523534119086
78,242.50496324767067
79,247.4588038826775
80,240.06215542699553
81,251.90164056081244
82,257.7855628575587
83,266.3894702237076
84,259.4086489086318
85,260.95753198553405
86,265.4912147820773
87,275.57701058851035
88,275.64375554829843
89,274.3511989811648
90,282.5663371655668
91,283.48538774674023
92,290.84322495266446
93,285.48973453061325
94,290.3616892670112
95,293.03945923433923
96,290.6824252593394
97,302.48060138532287
98,305.3052763608994
99,307.0255672832123
100,308.82706433312427
